Car No	Manufacture	Speed	Millage	User Rating
59-H2 5738	Audi	153.4196081	200	4
59-H2 5739	Audi	256.2250478	201	3
59-H2 5740	Audi	48.30983237	202	2
59-H2 5741	Audi	157.6507578	203	1
59-H2 5742	Audi	75.66746091	204	4
59-H2 5743	FIAT	79.25186088	205	5
59-H2 5744	FIAT	233.6728773	206	1
59-H2 5745	FIAT	106.8851314	207	4
59-H2 5746	FIAT	185.5523278	208	2
59-H2 5747	FIAT	51.68347707	209	4
59-H2 5748	FIAT	263.3016955	210	3
59-H2 5749	FORD	109.2678751	211	1
59-H2 5750	FORD	181.5652754	212	5
59-H2 5751	FORD	182.3194867	213	4
59-H2 5752	FORD	13.12293919	214	2
59-H2 5753	FORD	50.22253913	215	2
59-H2 5754	Honda	5.625524232	216	3
59-H2 5755	Honda	267.928577	217	2
59-H2 5756	Honda	199.4179621	218	1
59-H2 5757	Honda	18.33420094	219	4
59-H2 5758	Honda	17.77829744	220	3
59-H2 5759	Honda	267.3830044	221	4
59-H2 5738	Audi	65.22819572	200	4
59-H2 5739	Audi	217.3519032	201	3
59-H2 5740	Audi	77.28147436	202	2
59-H2 5741	Audi	285.4874161	203	1
59-H2 5742	Audi	1.437758179	204	4
59-H2 5743	FIAT	45.47490944	205	5
59-H2 5744	FIAT	127.044611	206	1
59-H2 5745	FIAT	232.6766025	207	4
59-H2 5746	FIAT	39.43405981	208	2
59-H2 5747	FIAT	72.2967155	209	4
59-H2 5748	FIAT	95.38944851	210	3
59-H2 5749	FORD	264.3352289	211	1
59-H2 5750	FORD	22.66979185	212	5
59-H2 5751	FORD	106.52111	213	4
59-H2 5752	FORD	76.75647798	214	2
59-H2 5753	FORD	0.681099394	215	2
59-H2 5754	Honda	148.0673436	216	3
59-H2 5755	Honda	19.05431561	217	2
59-H2 5756	Honda	118.1880965	218	1
59-H2 5757	Honda	222.0535618	219	4
59-H2 5758	Honda	85.7279955	220	3
59-H2 5759	Honda	257.1472468	221	4
59-H2 5738	Audi	189.0732018	200	4
59-H2 5739	Audi	295.850466	201	3
59-H2 5740	Audi	215.8267363	202	2
59-H2 5741	Audi	22.35044603	203	1
59-H2 5742	Audi	206.061592	204	4
59-H2 5743	FIAT	36.82080188	205	5
59-H2 5744	FIAT	146.1722573	206	1
59-H2 5745	FIAT	123.2561342	207	4
59-H2 5746	FIAT	115.9714494	208	2
59-H2 5747	FIAT	85.59764118	209	4
59-H2 5748	FIAT	276.1980452	210	3
59-H2 5749	FORD	143.0704005	211	1
59-H2 5750	FORD	272.5247303	212	5
